Genes,Phos Site No,Domain No,Protein Mass,Transcript Length,Gene Length,Exon No,CDS Length,Isoform No,Amino Acid Length,target
CNTN4,10,3,113454,2517.125,959146.0,10.411764705882351,2136.671875,9,495.33333333333326,Expanded Positives
RPS20,8,1,13373,766.4444444444445,7286.0,3.5,303.1764705882353,9,90.88888888888887,Expanded Positives
DRP2,13,5,107962,6995.5,44728.0,21.6,2557.8888888888887,5,820.6,Expanded Positives
STIP1,22,6,62639,1697.6,19271.0,6.583333333333332,1371.5357142857142,6,360.5,Expanded Positives
AGAP1,26,4,94470,4784.4,637757.0,10.642857142857142,1847.557142857143,11,526.6363636363636,Expanded Positives
CCT2,33,1,57488,1944.333333333333,16144.0,7.2857142857142865,1481.6129032258066,4,492.25,Expanded Positives
SYNE1,124,3,1011086,7128.631578947368,516117.0,26.25,16862.884196185285,20,1976.45,Expanded Positives
BCAS2,8,1,26131,1275.0,14072.0,6.5,678.0,1,225.0,Expanded Positives
TSC1,59,1,129767,4102.086956521739,55526.0,13.170212765957446,1926.0711462450595,33,521.3030303030304,Expanded Positives
CLSTN3,6,1,106098,1357.0,29247.0,5.5,1498.1555555555553,8,301.25,Expanded Positives
RPS3A,17,1,29945,717.5833333333335,5018.0,5.071428571428571,557.3088235294117,13,174.46153846153842,Expanded Positives
INSM2,1,1,59491,2891.0,2890.0,1.0,1701.0,1,566.0,Expanded Positives
SIRT1,35,1,81681,3580.5,33734.0,6.333333333333332,1614.1,4,521.75,Expanded Positives
NDRG2,26,1,40798,1071.142857142857,54109.0,9.025641025641026,746.516129032258,61,212.96721311475412,Expanded Positives
GLS,15,3,73461,1895.4285714285716,84725.0,6.333333333333332,1146.3478260869565,8,271.625,Expanded Positives
UCHL1,5,1,24824,829.2,12042.0,7.416666666666668,535.9137931034484,7,168.14285714285714,Expanded Positives
MACF1,222,8,838308,9601.666666666666,405861.0,24.314285714285717,16022.806994818653,18,2654.277777777778,Expanded Positives
CRY2,10,2,66947,3099.0,36130.0,6.0,1767.75,4,588.25,Expanded Positives
CACNA1B,25,3,262496,7663.857142857143,246842.0,40.57142857142857,6803.904929577465,7,1998.857142857143,Expanded Positives
HDAC2,23,1,55364,1567.0,78280.0,6.294117647058822,831.2068965517243,12,184.25,Expanded Positives
PTPRK,19,4,162102,3619.5,553956.1523178808,13.727272727272727,3504.5737704918038,26,761.0384615384614,Expanded Positives
NUDCD3,7,2,40822,8036.0,111539.0,3.5454545454545454,1086.0,1,361.0,Expanded Positives
NCALD,5,4,22245,1101.5833333333333,438365.0,4.266666666666667,341.2568807339449,24,113.54166666666669,Expanded Positives
ATP6V1E1,4,1,26145,1083.75,36613.0,5.888888888888888,625.7647058823529,4,207.25,Expanded Positives
PCDHA1,7,3,102952,3397.666666666666,226211.0,3.0,2453.333333333333,3,814.3333333333335,Expanded Positives
PRPF19,17,3,55181,1008.4,16038.0,7.0,864.0,5,204.8,Expanded Positives
NDUFB8,7,1,21766,691.6666666666665,6260.0,3.7777777777777777,441.0,4,146.0,Expanded Positives
ATP6AP1,5,1,52026,1616.0,7871.0,6.9,738.6727272727272,8,222.875,Expanded Positives
STOM,13,1,31731,1712.333333333333,31316.0,5.333333333333333,639.1875,3,193.0,Expanded Positives
NETO1,7,2,60191,2426.2,125832.0,5.571428571428571,1176.7575757575758,5,265.2,Expanded Positives
MAPRE3,8,2,31982,1370.6,56584.0,4.9,784.8,5,259.4,Expanded Positives
RBX1,5,1,12274,1188.0,21962.0,3.333333333333333,327.0,1,108.0,Expanded Positives
GDI1,19,1,50583,1513.0,6554.0,4.466666666666667,655.875,5,165.4,Expanded Positives
VIM,75,2,53652,1353.25,9352.0,4.9,1153.0,6,308.1666666666667,Expanded Positives
CDH12,3,2,88332,3784.0,1102949.0,9.0,2349.878048780488,3,780.6666666666665,Expanded Positives
PPID,9,2,40764,1309.5,14269.0,6.333333333333332,623.0,3,145.66666666666666,Expanded Positives
ABCC8,7,2,176992,3581.909090909091,84381.0,22.722222222222218,2419.465641952984,40,688.025,Expanded Positives
GNAS,48,2,67948,1198.7551020408166,71474.0,7.7049180327868845,898.3926829268293,22,328.27272727272725,Expanded Positives
NBEA,46,6,327822,8554.166666666666,730735.0,33.375,8027.406844106464,6,2174.1666666666665,Expanded Positives
RAB11B,17,1,24489,898.25,14453.0,3.6,409.375,4,125.75,Expanded Positives
TUBB2A,37,2,49907,1616.0,3878.0,4.0,1338.0,1,445.0,Expanded Positives
PRKACB,27,1,40623,2588.1176470588234,160436.0,9.578947368421053,903.279069767442,17,291.29411764705884,Expanded Positives
SBF1,56,6,208443,5214.0,30035.0,14.125,5205.066666666667,3,1392.0,Expanded Positives
RALYL,9,1,32331,1649.5,739057.0,6.363636363636362,727.75,10,203.8,Expanded Positives
PTPRD,31,4,214760,5978.666666666668,2300884.5,22.5625,4598.152173913043,24,1278.9166666666667,Expanded Positives
HK1,24,2,102486,2467.5,131900.0,11.555555555555555,2090.256097560976,11,529.5454545454545,Expanded Positives
DDX39B,21,2,48991,966.824,14646.764925373134,6.022471910112358,832.9251461988304,133,232.87969924812032,Expanded Positives
CALM3,12,2,16838,1017.4285714285713,9708.0,5.615384615384616,325.9375,7,119.0,Expanded Positives
SERINC1,15,1,50495,3125.0,28456.0,10.0,1362.0,1,453.0,Expanded Positives
BCAP31,5,2,27992,1053.2222222222224,24254.0,5.769230769230768,657.8524590163935,9,209.88888888888889,Expanded Positives
DNAJC6,16,2,99997,4810.5,167652.0,10.5,2572.5857142857144,4,824.75,Expanded Positives
ROBO2,18,3,151200,3878.888888888889,1743269.0,13.923076923076925,3243.381502890173,10,805.7,Expanded Positives
SNRPD2,6,1,13527,636.0,5115.0,3.25,304.25,7,98.85714285714286,Expanded Positives
MUC13,8,1,54604,1733.0,48377.0,5.8,1210.0,2,348.0,Expanded Positives
HCN2,19,3,96950,3420.0,27278.0,8.0,2670.0,1,889.0,Expanded Positives
CDC25C,40,2,53365,1450.0,53090.0,10.1,1089.939393939394,9,344.22222222222223,Expanded Positives
MAGI1,40,5,164581,4426.1,685309.0,14.111111111111109,3455.429951690821,20,1076.6,Expanded Positives
SUMO1,6,1,11557,935.375,32428.0,5.2,258.8936170212766,9,84.0,Expanded Positives
PAX6,3,2,46683,2369.1964285714284,33182.0,9.548780487804876,1049.1958925750396,59,338.06779661016947,Expanded Positives
DPYSL4,6,1,61878,2104.5,18811.0,7.2,1519.0,2,492.0,Expanded Positives
CDKN1B,13,1,22073,1295.0,7311.0,3.0,496.5,3,169.0,Expanded Positives
HYOU1,18,1,111335,2094.3571428571427,13039.0,10.956521739130435,1899.122807017544,30,402.6,Expanded Positives
AFG3L2,13,4,88584,1937.0,48370.0,6.5,1992.409090909091,2,503.0,Expanded Positives
FOXG1,11,1,52352,4890.0,9947.0,1.875,1470.0,1,489.0,Expanded Positives
GPR22,3,1,49265,2970.0,5666.5,2.6666666666666665,1302.0,2,433.0,Expanded Positives
GNG3,1,1,8305,864.0,1525.0,3.0,228.0,1,75.0,Expanded Positives
RAB1B,20,1,22171,1446.0,8902.0,5.5,562.3636363636364,2,185.0,Expanded Positives
ANP32E,6,2,30692,1520.2,17739.0,5.0,530.76,10,162.0,Expanded Positives
KCNK1,5,1,38143,1443.5,58508.0,3.6666666666666665,868.5,2,289.0,Expanded Positives
DIRAS1,1,1,22329,1566.0,6805.0,2.0,502.5,3,177.33333333333337,Expanded Positives
GDI2,34,1,50663,991.625,76909.0,6.4444444444444455,813.7818181818183,8,233.625,Expanded Positives
DOCK3,16,3,233103,9069.0,709271.0,53.0,6093.0,1,2030.0,Expanded Positives
NAV3,73,2,255648,4859.75,888369.0,12.5625,5140.69540229885,8,1249.875,Expanded Positives
PCDH15,17,2,216069,5514.0,1825171.0,25.86111111111111,4624.375545851528,34,1309.3529411764705,Expanded Positives
TTK,62,1,97072,1723.857142857143,38640.0,9.0,2061.116279069768,8,398.875,Expanded Positives
RAF1,60,3,73052,2738.6666666666665,80625.0,8.083333333333334,1368.7285714285715,5,396.2,Expanded Positives
XRN2,31,2,108582,3408.0,86494.0,30.0,2853.0,1,950.0,Expanded Positives
PCBP1,37,1,37498,1750.0,1749.0,1.0,1071.0,1,356.0,Expanded Positives
KCNH1,7,3,111423,3909.5,457342.0,8.235294117647058,2348.95,26,697.3076923076923,Expanded Positives
HNRNPAB,17,2,36225,1677.7142857142858,6630.0,6.5,917.52,7,303.42857142857144,Expanded Positives
SGCZ,5,1,32949,4106.0,1153586.0,7.0,878.5714285714287,2,288.5,Expanded Positives
PIK3R2,23,3,81545,2537.6666666666665,17369.0,8.75,1729.967741935484,5,508.4,Expanded Positives
NOTCH2,32,9,265405,3704.5,189226.0,8.23076923076923,3651.012048192771,4,900.0,Expanded Positives
AP3B2,16,2,119059,2888.6470588235293,50876.0,16.84375,2237.098321342926,8,724.5,Expanded Positives
CDK1,22,1,34095,1635.666666666667,16521.0,5.888888888888888,754.3636363636364,6,247.83333333333331,Expanded Positives
KBTBD7,6,3,77163,4734.0,4733.0,1.0,2055.0,1,684.0,Expanded Positives
TOP2A,86,6,174385,2231.333333333333,29371.0,9.8,3886.6190476190477,3,568.3333333333334,Expanded Positives
DTNB,28,3,71356,2029.9,296449.0,9.466666666666667,1464.8241206030152,12,437.25,Expanded Positives
FABP7,6,1,14889,1435.5,4358.0,3.5,442.71428571428567,2,149.0,Expanded Positives
PAFAH1B1,15,2,46638,2389.0,92405.0,4.846153846153847,698.1923076923077,4,178.5,Expanded Positives
KANK2,42,4,91174,2066.25,33524.0,5.153846153846153,1814.462962962963,8,385.875,Expanded Positives
GRIN1,11,4,105373,3914.857142857143,29602.0,14.461538461538463,2568.2830188679245,8,851.25,Expanded Positives
CCDC106,7,1,32032,1222.0,12099.0,4.333333333333333,676.0526315789474,8,202.625,Expanded Positives
ITGB1,20,6,88415,1215.3333333333333,105474.0,6.315789473684211,1206.4594594594596,16,229.875,Expanded Positives
SLC25A5,22,1,32852,1307.0,2974.0,3.0,897.0,1,298.0,Expanded Positives
AGO1,13,6,97214,8854.0,60724.0,18.33333333333333,1824.6181818181815,3,590.6666666666666,Expanded Positives
CNTN5,15,3,120686,4990.0,1337936.0,14.416666666666664,3133.9191176470586,6,1040.5,Expanded Positives
RPL13,14,1,24261,1537.571428571429,6171.0,4.133333333333334,451.075,8,139.75,Expanded Positives
LMNA,116,2,74139,1977.3,57516.0,6.32,1553.4272727272726,11,461.9090909090909,Expanded Positives
EXTL1,2,2,74697,4015.0,16580.0,6.0,2031.0,1,676.0,Expanded Positives
SLC25A6,18,1,32866,1451.0,5961.0,4.0,897.0,1,298.0,Expanded Positives
FBXO41,14,1,94496,5852.333333333332,29749.0,9.0,2628.0,3,875.0,Expanded Positives
EPB41L2,84,6,112588,2500.0,223975.0,9.545454545454543,2129.8387096774195,25,536.36,Expanded Positives
LSAMP,2,2,37393,5142.5,1337026.0,5.857142857142858,916.4074074074074,4,294.0,Expanded Positives
EPHA2,46,5,108266,3946.0,31732.0,6.75,2931.0,1,976.0,Expanded Positives
ARNT2,3,3,78691,3837.6,193583.0,11.444444444444445,2011.9642857142856,5,595.0,Expanded Positives
RNF11,6,1,17444,3074.0,37174.0,2.333333333333333,465.0,1,154.0,Expanded Positives
SYT4,4,1,47958,1706.5,9643.0,3.125,810.5,4,269.5,Expanded Positives
ADAM11,5,5,83418,3571.5,22858.0,22.4,1575.6,4,524.0,Expanded Positives
ABCF1,33,2,95926,2262.285714285714,25801.998514115898,13.734693877551019,2025.709939148073,29,554.0,Expanded Positives
PCDH10,4,3,112936,6542.0,59312.0,3.0,3051.0,2,968.0,Expanded Positives
RPL29,7,1,17752,715.75,2420.0,3.8,406.97222222222223,9,135.33333333333334,Expanded Positives
SUPT16H,42,4,119914,2674.0,32543.0,7.125,2123.25,4,319.25,Expanded Positives
FBXO44,3,2,29747,1596.0,8952.0,5.666666666666668,637.5294117647059,9,209.22222222222226,Expanded Positives
TUBA1B,60,2,50152,837.0,3615.0,3.75,484.08,6,158.5,Expanded Positives
ZC3HAV1,69,4,101431,4155.5,66205.0,10.25,2410.9756097560976,4,722.25,Expanded Positives
KIAA0319,12,1,117763,6267.5,102087.0,20.166666666666668,2914.785123966942,6,954.6666666666665,Expanded Positives
PIK3C2A,44,6,190680,4405.5,130253.0,11.4,4191.073170731707,3,766.3333333333335,Expanded Positives
ARFGEF2,52,4,202038,9031.0,114982.0,20.5,5358.0,1,1785.0,Expanded Positives
PTPRR,13,1,73834,2256.833333333333,282665.0,9.181818181818182,1291.1447368421052,7,402.28571428571433,Expanded Positives
PAK1,48,2,60647,1470.5,152928.0,6.8,1075.1470588235297,12,240.58333333333331,Expanded Positives
BASP1,21,1,22693,1306.3333333333333,211245.0,2.6666666666666665,410.5,3,166.33333333333334,Expanded Positives
GNAI3,10,1,40532,27173.0,69709.0,9.0,1065.0,1,354.0,Expanded Positives
ATP6V0A1,9,1,96413,1966.916666666667,63767.0,7.92,1814.0301204819282,14,411.6428571428572,Expanded Positives
DGKQ,6,4,101155,2490.75,28008.0,12.8,2317.127272727273,4,529.5,Expanded Positives
CSNK2A1,23,2,45144,2591.733333333333,71337.0,9.416666666666666,842.9944134078212,34,245.79411764705884,Expanded Positives
ASIC2,3,1,57709,3311.0,1161877.0,6.2,1615.5,2,537.5,Expanded Positives
ESR1,26,4,66216,2952.818181818182,472928.0,5.133333333333334,1288.758064516129,11,320.54545454545456,Expanded Positives
SPIN1,12,1,29601,4459.0,90264.0,5.833333333333332,789.0,1,262.0,Expanded Positives
RPL11,9,2,20252,852.0,5093.0,5.333333333333333,424.1739130434783,4,141.5,Expanded Positives
PRKDC,140,4,469089,6872.25,187075.0,18.272727272727273,11799.664804469276,4,2096.25,Expanded Positives
PRKCI,33,4,68262,4887.0,83553.0,5.428571428571429,1791.0,1,596.0,Expanded Positives
GALNT9,2,2,68359,1484.833333333333,133217.0,5.2,1045.578947368421,6,267.1666666666667,Expanded Positives
KIAA0513,5,1,46639,4244.833333333333,66479.0,8.428571428571429,1032.2631578947369,6,305.8333333333333,Expanded Positives
MYRIP,21,2,95706,4048.8,451407.0,13.9,2028.7631578947367,7,672.2857142857142,Expanded Positives
YBX1,32,1,35924,1759.666666666667,21387.0,6.25,945.9,3,304.6666666666667,Expanded Positives
EIF4B,94,1,69151,1757.333333333333,36051.0,8.0,1236.9021739130435,9,354.4444444444445,Expanded Positives
PCNA,11,2,28769,1317.5,11673.0,6.5,786.0,2,261.0,Expanded Positives
EIF4A2,15,2,46402,1086.8,6692.0,5.111111111111111,683.6973684210526,9,192.22222222222226,Expanded Positives
JPH3,8,1,81469,4382.0,96321.0,4.25,2247.0,1,748.0,Expanded Positives
PPP1R16B,11,1,63551,6182.5,117327.0,7.0,1644.0,2,546.0,Expanded Positives
FBXL15,1,2,32998,1338.5,3947.0,3.571428571428572,687.2608695652175,6,225.66666666666663,Expanded Positives
BRMS1L,7,1,37629,1919.0,105987.0,7.333333333333332,507.29411764705884,4,158.5,Expanded Positives
FER,26,3,94638,3888.25,449000.0,8.8,1320.375,5,386.6,Expanded Positives
MTOR,57,5,288892,4462.666666666667,155972.0,15.142857142857142,5855.928571428572,3,1154.6666666666667,Expanded Positives
SACS,35,2,521126,9476.75,104914.0,8.2,7162.538461538462,4,2497.5,Expanded Positives
RASGEF1A,4,2,54556,2808.75,72384.0,10.0,1344.4,4,415.5,Expanded Positives
SHANK3,56,4,184667,5524.0,58780.8064516129,17.714285714285715,4973.40594059406,4,1729.0,Expanded Positives
RAP1GAP2,36,1,80056,4556.4,282036.0,15.444444444444445,2198.5,5,731.4,Expanded Positives
TP53,37,4,43653,1861.88,25771.0,8.172413793103447,895.0349344978166,26,269.6923076923077,Expanded Positives
BARD1,30,3,86648,1902.5,84037.0,6.333333333333332,1233.8837209302326,10,306.2,Expanded Positives
KAT2B,18,3,93013,4410.0,113958.0,6.6,2499.0,1,832.0,Expanded Positives
TRIM2,12,4,81530,1845.0,186975.0,4.833333333333333,1471.1632653061224,9,302.1111111111111,Expanded Positives
AP2M1,18,2,49655,1148.5454545454545,9402.0,5.954545454545454,1055.3295454545455,11,288.45454545454544,Expanded Positives
SH3GL2,3,2,39962,2617.0,218058.0,5.5,1059.0,1,352.0,Expanded Positives
RPLP0,18,3,34274,877.3333333333335,4536.0,5.25925925925926,639.1359223300972,16,202.3125,Expanded Positives
CALR,26,1,48142,1197.3333333333333,5911.0,4.571428571428571,815.6521739130435,4,210.0,Expanded Positives
DMD,72,6,426750,5606.65,2241764.0,20.53125,7081.352657004832,21,1225.0,Expanded Positives
LANCL1,12,1,45283,2578.857142857143,46403.0,8.125,1009.1076923076924,8,302.5,Expanded Positives
IMPDH2,17,2,55805,1328.3333333333333,5083.0,5.333333333333333,1348.0,3,421.0,Expanded Positives
NCS1,4,2,21879,3128.0,64899.0,6.333333333333332,546.0,2,181.0,Expanded Positives
DTNBP1,11,1,39493,1185.4285714285713,140257.0,7.75,596.4725274725274,11,201.3636363636364,Expanded Positives
GABRB2,8,2,59150,3455.857142857143,260615.0,7.888888888888888,1330.5,7,430.0,Expanded Positives
TUFM,20,3,49542,2011.0,3937.0,5.5,930.7058823529413,2,278.0,Expanded Positives
PPP1R9A,60,3,123342,6170.25,389213.0,13.625,3581.6330275229357,8,935.75,Expanded Positives
TRIP13,11,1,48551,1588.5,26473.0,6.0,1088.3333333333333,2,340.5,Expanded Positives
GOSR2,5,1,24775,2142.7419354838707,52449.0,5.74468085106383,517.5020080321285,42,163.4047619047619,Expanded Positives
ARHGAP21,125,3,217462,3111.5,140278.0,10.0,3401.961290322581,11,857.6363636363636,Expanded Positives
TAB1,20,1,54644,2429.0,37282.0,5.142857142857143,1452.0,2,483.0,Expanded Positives
AHNAK,370,1,629101,3256.714285714286,122693.0,4.625,2922.7352941176473,7,949.0,Expanded Positives
RPLP2,13,1,11665,470.66666666666674,2915.0,3.5,326.46153846153845,3,107.33333333333331,Expanded Positives
SYN3,13,3,63303,1229.2,545820.0,4.384615384615385,1112.1818181818182,5,265.2,Expanded Positives
KCNH7,14,3,135000,3038.25,467323.0,10.0,3017.133333333333,4,913.5,Expanded Positives
VCAM1,6,4,81276,2717.75,19303.0,7.166666666666668,1627.571428571429,5,543.8,Expanded Positives
ARHGEF9,3,3,60982,2774.8214285714284,174307.0,8.052631578947368,1208.0239726027396,32,357.09375,Expanded Positives
SLC25A23,5,3,52378,1206.875,29124.0,5.846153846153847,952.9393939393941,10,251.5,Expanded Positives
PTBP3,20,3,59690,4356.428571428572,115951.0,10.375,1461.9875,7,415.0,Expanded Positives
KCND3,12,4,73451,4257.0,218493.0,7.0,1932.7142857142856,3,642.3333333333334,Expanded Positives
ATP8A2,27,4,133599,6479.5,653877.0,26.2,2819.028571428572,3,941.6666666666665,Expanded Positives
CACNG2,6,1,35966,2384.0,139637.0,3.0,972.0,1,323.0,Expanded Positives
MOAP1,2,1,39513,2476.5,2728.0,2.5,1056.0,4,351.0,Expanded Positives
VBP1,6,1,22626,1361.0,42810.0,5.75,583.7368421052631,3,193.66666666666663,Expanded Positives
CFL1,23,1,18502,927.9090909090908,39004.0,3.4,451.4285714285714,11,143.8181818181818,Expanded Positives
PRKCD,46,3,77505,1645.4,36708.0,12.454545454545455,1545.897810218978,5,355.4,Expanded Positives
CEND1,3,1,14954,1605.0,2998.0,2.0,450.0,1,149.0,Expanded Positives
CD99L2,4,1,27986,2089.0,132480.0,9.0,615.6973684210526,8,200.625,Expanded Positives
HSD17B4,26,4,79686,2194.1,184726.0,13.82051282051282,1107.5187793427228,22,393.2272727272728,Expanded Positives
ANKS1B,16,4,138066,1694.571428571429,1258197.0,7.588235294117648,1421.3056768558954,23,332.30434782608694,Expanded Positives
PTK2B,46,4,115875,2199.1111111111113,147909.0,11.411764705882351,2521.454545454545,9,523.7777777777778,Expanded Positives
WDR82,7,1,35079,1815.666666666667,33586.0,7.0,508.0,3,144.66666666666666,Expanded Positives
KCTD2,2,1,28527,2325.0,33314.0,5.333333333333333,375.57142857142856,3,133.66666666666666,Expanded Positives
ARHGEF7,51,9,90012,3159.733333333333,191178.0,11.75,1804.1936936936936,16,462.875,Expanded Positives
VAMP1,2,1,12902,1594.25,8750.0,4.125,353.2105263157895,4,116.75,Expanded Positives
RBMX,80,2,42332,1679.2,32760.0,6.083333333333332,654.1333333333333,8,203.875,Expanded Positives
TPM4,14,2,28522,2225.0,35981.0,7.4,522.3666666666667,19,178.94736842105263,Expanded Positives
RPS17,12,1,15550,1224.5,3758.40625,3.555555555555556,370.64705882352933,8,123.25,Expanded Positives
NRSN2,6,1,21983,1114.2222222222224,12878.0,4.0,401.7837837837838,9,135.33333333333334,Expanded Positives
FLNB,176,2,278164,6595.857142857143,163851.0,19.357142857142858,7389.180672268907,8,1651.875,Expanded Positives
ARHGAP44,11,2,89247,2287.5,202145.0,11.083333333333336,1732.8793103448277,8,457.75,Expanded Positives
CACNA1S,22,3,212350,6012.0,72939.0,43.5,5593.827586206897,2,1863.5,Expanded Positives
FKBP4,29,3,51805,1020.0,10453.0,3.5,727.4545454545455,6,125.66666666666669,Expanded Positives
DNM1L,38,3,81877,2625.3636363636365,66450.0,9.566666666666666,1506.2372881355932,17,403.2352941176471,Expanded Positives
MTPN,3,1,12895,2330.5,50599.0,3.0,291.0,2,85.0,Expanded Positives
ZNF554,12,2,60582,1942.0,15899.0,4.75,741.3529411764706,3,262.3333333333333,Expanded Positives
HNRNPA2B1,50,1,37430,3102.75,28472.0,9.222222222222221,996.0,5,329.8,Expanded Positives
TRIM37,17,3,107906,1733.0,124283.0,10.285714285714286,1701.6030534351144,11,330.09090909090907,Expanded Positives
GART,21,6,107767,1689.666666666667,34655.394736842114,7.3076923076923075,1778.954248366013,14,414.78571428571433,Expanded Positives
CHN2,10,3,53924,1425.909090909091,367759.0,5.833333333333332,766.1794871794873,12,228.58333333333331,Expanded Positives
KALRN,35,8,340261,5957.75,646302.0,14.409090909090908,6499.549356223176,9,1253.0,Expanded Positives
UBA1,47,5,117849,1865.375,24267.0,11.444444444444445,2117.8865979381444,8,472.25,Expanded Positives
MYO18A,117,3,233115,5120.0,109288.0,12.166666666666664,4480.228070175439,9,1025.4444444444443,Expanded Positives
WWOX,9,2,46677,1223.5555555555557,1113237.0,5.5,663.5238095238095,11,185.9090909090909,Expanded Positives
CPNE7,7,2,70294,1526.5,21488.0,6.888888888888888,1272.3529411764705,6,279.0,Expanded Positives
TNK2,42,4,114569,3538.0,45644.0,14.25,2807.421052631579,12,458.33333333333326,Expanded Positives
XRCC6,37,4,69843,2219.5,42929.0,10.0,1761.7702702702704,6,585.5,Expanded Positives
HDAC5,33,2,121978,2355.714285714286,46956.0,10.5,2864.7311827956987,7,535.8571428571429,Expanded Positives
FXR2,49,6,74223,1761.0,23641.0,5.142857142857143,1587.1304347826087,2,395.5,Expanded Positives
PCDHGC3,28,4,101077,2305.8,37030.0,3.125,1229.75,5,471.6,Expanded Positives
CAPRIN1,42,2,78366,3139.666666666666,50879.0,8.411764705882353,1984.747368421053,6,603.3333333333334,Expanded Positives
PABPC1,38,2,70671,996.7222222222223,36993.0,6.083333333333332,1056.0625,20,219.8,Expanded Positives
CELF2,6,1,54285,3946.333333333334,538278.0,13.117647058823529,1410.8609865470853,17,453.2352941176471,Expanded Positives
PIGN,3,3,105810,3563.65625,281863.0,19.235294117647054,2162.3129943502827,41,597.7073170731708,Expanded Positives
PPP3CB,7,1,59024,2559.0,59596.0,10.833333333333336,1435.1,5,449.4,Expanded Positives
HDLBP,49,1,141456,1538.6296296296296,89797.0,7.085106382978723,2086.7751937984494,27,325.4444444444445,Expanded Positives
ELK1,17,1,44888,2102.333333333333,15083.0,5.5,971.5263157894735,3,317.0,Expanded Positives
PFDN4,5,1,15314,1230.0,19965.0,4.2,408.6,2,135.0,Expanded Positives
DPYSL2,46,1,62294,3023.25,144147.0,7.25,1702.8666666666666,4,488.75,Expanded Positives
KIF1A,43,6,191064,5365.117647058823,107275.0,27.838709677419356,4906.116314199396,17,1385.1176470588236,Expanded Positives
UBQLN2,10,3,65696,4230.0,4229.0,1.0,1875.0,1,624.0,Expanded Positives
TXN,8,1,11737,686.0,12697.0,3.6666666666666665,291.3333333333333,2,95.0,Expanded Positives
EPB41L1,83,6,98503,2512.5,141295.0,11.68421052631579,1968.593607305936,18,463.66666666666674,Expanded Positives
TERF2IP,22,3,44260,1791.0,114099.0,3.2,747.9230769230769,3,206.66666666666663,Expanded Positives
RPA2,17,1,29247,1043.8,23222.0,7.4,771.1621621621623,5,241.4,Expanded Positives
SOD1,12,1,15936,915.5,9309.0,5.0,436.5,2,144.5,Expanded Positives
SCRN1,4,1,46382,1976.2222222222226,70185.0,5.8,1013.0370370370372,9,298.6666666666667,Expanded Positives
DLG4,15,5,80495,2005.842105263158,32672.0,12.75,1766.2111111111112,20,459.5,Expanded Positives
PPP1CA,14,2,37512,961.8333333333335,23000.0,5.090909090909091,826.6060606060606,6,259.6666666666667,Expanded Positives
SERPINB7,6,1,42905,1431.857142857143,52441.0,6.7142857142857135,890.9574468085108,7,274.57142857142856,Expanded Positives
TTC7B,23,3,94179,3522.142857142857,291915.0,6.6,1250.3866666666668,9,289.5555555555556,Expanded Positives
TUBB4B,54,2,49831,1563.0,2420.0,3.5,1338.0,1,445.0,Expanded Positives
JAKMIP2,8,1,94934,6015.25,197337.0,15.5,2408.894117647059,4,801.75,Expanded Positives
MAP2K1,17,1,43439,2421.0,105495.0,7.666666666666668,976.6666666666665,2,305.0,Expanded Positives
RALA,11,1,23567,1834.5,84555.0,3.6,498.76923076923083,3,157.0,Expanded Positives
ARF6,5,1,20082,3875.0,3972.0,2.0,528.0,1,175.0,Expanded Positives
HAS1,5,2,64832,1539.4,10882.0,4.2,1333.6190476190475,5,418.8,Expanded Positives
RPS11,16,2,18431,540.25,3343.0,4.222222222222221,316.375,5,105.0,Expanded Positives
CLASP2,123,1,141064,3476.133333333333,222111.0,13.961538461538463,3451.8475609756097,15,730.2,Expanded Positives
TPR,111,1,267293,4209.666666666667,64041.0,12.333333333333336,5587.5,3,1079.6666666666667,Expanded Positives
MMP16,11,4,69521,6051.0,296014.0,6.5,1384.666666666667,2,387.5,Expanded Positives
LIMK1,19,3,72585,2961.666666666666,39592.0,10.125,1682.0,4,560.5,Expanded Positives
ALK,30,3,176442,3494.0,728812.0,14.428571428571427,3169.188235294117,5,739.2,Expanded Positives
MCM6,32,5,92889,3753.0,36817.0,8.333333333333334,2466.0,1,821.0,Expanded Positives
CDH22,13,2,89091,3903.0,134765.0,8.5,2487.0,2,828.0,Expanded Positives
PTPN11,39,2,68436,1941.0,91562.0,8.428571428571429,1381.877192982456,6,361.66666666666674,Expanded Positives
TMCC2,12,1,77449,2872.0,57686.0,4.2,1716.8181818181818,5,561.4,Expanded Positives
TAGLN3,6,2,22473,1037.7142857142858,15148.0,3.8571428571428568,527.7037037037037,7,164.57142857142858,Expanded Positives
CUL1,5,2,89679,2773.8461538461543,103196.0,20.0,1856.065155807365,4,770.0,Expanded Positives
DDX21,42,3,87344,4746.5,28898.0,15.0,2250.0,2,749.0,Expanded Positives
RAB26,2,1,27900,1087.6666666666667,13362.0,7.125,526.2413793103449,4,161.5,Expanded Positives
ABLIM1,92,3,87688,3625.307692307693,336948.0,14.647058823529413,1836.3807531380755,11,558.5454545454545,Expanded Positives
NRN1,1,1,15333,1644.333333333333,9606.0,3.5,457.3636363636364,3,150.66666666666666,Expanded Positives
TMOD3,10,1,39595,4339.5,117667.0,4.636363636363637,699.8484848484848,4,196.25,Expanded Positives
ERBB3,41,4,148098,2077.6363636363635,26706.0,7.782608695652174,2455.6887417218545,14,446.71428571428567,Expanded Positives
KCNJ3,9,2,56603,4280.666666666667,160499.0,3.0,1090.0,2,368.0,Expanded Positives
