,genes
1692,VPS25
1693,MYO1G
1694,CCNJL
1695,CDYL2
1696,F11
1697,CEP55
1698,RAMP1
1699,TLR7
1700,TTLL1
1701,SHROOM3
1702,PLXND1
1703,ZNF266
1704,SUPT20H
1705,HEXA
1706,GALNT10
1707,CNST
1708,HIPK1
1709,KDM6B
1710,CBX8
1711,ZNF114
1712,KHDRBS1
1713,POLR1D
1714,ZNF780A
1715,MAP4K4
1716,USP17L5
1717,SEC24A
1718,RBM12
1719,HAT1
1720,FAM20B
1721,BARX2
1722,KCTD1
1723,PTTG2
1724,THYN1
1725,ANTXR1
1726,SALL2
1727,CBFB
1728,PDE5A
1729,IL20RB
1730,ZNF486
1731,MRPS17
1732,CLCNKA
1733,CPNE9
1734,KLHL3
1735,RNF2
1736,MBOAT1
1737,TNNT2
1738,IRF5
1739,MRPL49
1740,CNGA3
1741,GDF15
1742,CENPP
1743,PDXK
1744,TACC3
1745,RC3H1
1746,INSM2
1747,CELSR1
1748,SNAPC3
1749,EIF3D
1750,ADO
1751,KHDRBS2
1752,MAZ
1753,UCP2
1754,WAS
1755,ZRANB2
1756,PHF8
1757,ZFHX2
1758,PGBD5
1759,EXOG
1760,NLRP1
1761,THOC2
1762,SMG6
1763,NCCRP1
1764,PRDM14
1765,DLX1
1766,MSH3
1767,CD63
1768,CD27
1769,ZC3H3
1770,EWSR1
1771,MTMR1
1772,CNN1
1773,PITX3
1774,PHYKPL
1775,EPHA8
1776,RPAP1
1777,SENP2
1778,ZFYVE26
1779,SNRPD1
1780,LAMA3
1781,TMEM9
1782,ATXN1L
1783,RBFOX1
1784,CD33
1785,CDCA4
1786,EFHD1
1787,GTPBP10
1788,OAS2
1789,SNX18
1790,SUFU
1791,NSL1
1792,KIF9
1793,LDLR
1794,MESP2
1795,ZSCAN18
1796,MYBPC2
1797,BCORL1
1798,STARD7
1799,PAXBP1
1800,PNPO
1801,CIAPIN1
1802,RARB
1803,TRAM1
1804,THRA
1805,ASIC3
1806,TPST1
1807,FUNDC1
1808,TIGIT
1809,PPARGC1A
1810,GSPT1
1811,TXNDC2
1812,CSNK2A3
1813,BBS12
1814,GINS2
1815,SPP2
1816,ZNF517
1817,NUP153
1818,MED8
1819,NCEH1
1820,ZNF24
1821,DDX39B
1822,APOO
1823,C3AR1
1824,DMBT1
1825,CDKN1A
1826,NR0B1
1827,TP53INP1
1828,FBXW7
1829,ZNF772
1830,RNF111
1831,PASK
1832,KRT16
1833,NR2F6
1834,MRVI1
1835,RTTN
1836,ZNF689
1837,MRPS22
1838,OR5F1
1839,ZNF740
1840,ABCB9
1841,KYNU
1842,CBX3
1843,FTSJ1
1844,RCSD1
1845,DUS2
1846,EYA4
1847,PUF60
1848,ZNF257
1849,PBX3
1850,XRCC6
1851,DDA1
1852,DPH6
1853,ADAP2
1854,ZIC1
1855,DTNB
1856,MRPL17
1857,CSRNP1
1858,ABCF2
1859,FAHD1
1860,PFDN4
1861,SLFN5
1862,SLC26A2
1863,SPTBN5
1864,SLCO6A1
1865,FABP1
1866,ZDHHC14
1867,MAPK7
1868,MITD1
1869,DHX29
1870,PPCS
1871,RPGRIP1
1872,RAI14
1873,KAT2B
1874,CDK11A
1875,NUDCD3
1876,ZNF317
1877,TNPO2
1878,SORT1
1879,AKAP10
1880,ALOX12
1881,CTSL
1882,YARS2
1883,RNF114
1884,VWA8
1885,GGPS1
1886,SRSF7
1887,TMEM70
1888,HSBP1
1889,BCAP29
1890,RDH14
1891,CERS4
1892,MICAL2
1893,SIX2
1894,ZNF383
1895,ZNF493
1896,PPP6C
1897,USP42
1898,GEMIN6
1899,UPRT
1900,TTK
1901,COL18A1
1902,NACA2
1903,NOP56
1904,DPY19L3
1905,TRIB3
1906,ACOT13
1907,KPNA3
1908,EIF1AD
1909,SMIM1
1910,ASPSCR1
1911,TESK1
1912,BTK
1913,STK4
1914,TSNARE1
1915,WDR55
1916,KRT28
1917,CDC25A
1918,DAP3
1919,MDN1
1920,LCE1F
1921,SLC25A21
1922,KLK9
1923,TAB2
1924,UBE2J1
1925,CCDC47
1926,ONECUT3
1927,CCNG1
1928,SMC4
1929,PLP2
1930,CLYBL
1931,POC1A
1932,ZMAT2
1933,OCIAD1
1934,B3GNT4
1935,PRKAB2
1936,SPATA13
1937,AK9
1938,ST6GALNAC5
1939,HES1
1940,TEK
1941,POLA1
1942,ZNF491
1943,SP6
1944,WTAP
1945,PTCH2
1946,POLR3GL
1947,ZBTB25
1948,SYNPO2L
1949,MXRA8
1950,TOX4
1951,MFHAS1
1952,BAG1
1953,F7
1954,TMEM67
1955,ZNF677
1956,RETSAT
1957,DMRTC2
1958,GALNT13
1959,SIK1
1960,NISCH
1961,DHX15
1962,RNASET2
1963,GIMAP1
1964,DHX9
1965,CKMT2
1966,EIF2B2
1967,PCDHA5
1968,PODN
1969,SNX15
1970,SUPT16H
1971,CASP1
1972,FAM83G
1973,CDC37L1
1974,ZSCAN5B
1975,DDT
1976,FASTKD2
1977,PRPS1L1
1978,DENND6B
1979,PUSL1
1980,TMEM214
1981,BTAF1
1982,TCF19
1983,BAG4
1984,PTBP3
1985,ANLN
1986,AMN
1987,REEP4
1988,ZNF3
1989,MEGF8
1990,IL1R1
1991,DUSP22
1992,CYP4V2
1993,NR0B2
1994,ZNF532
1995,DUSP11
1996,SEC23B
1997,TCHH
1998,RPE
1999,SP3
2000,NUB1
2001,UNC79
2002,ARHGEF26
2003,NOL8
2004,POP7
2005,UBAC2
2006,ZNF57
2007,ZSWIM7
2008,CLEC16A
2009,ONECUT2
2010,GRK1
2011,TOR2A
2012,SMCR8
2013,SEPHS2
2014,CSPG4
2015,NDUFB2
2016,ZNF579
2017,TAGAP
2018,STOML1
2019,PHC2
2020,WDR27
2021,FNBP1
2022,HAUS6
2023,ZNF629
2024,TTC28
2025,PCNA
2026,SAT2
2027,NOTCH4
2028,SERPINH1
2029,TRIM68
2030,ZNF292
2031,MPPE1
2032,NUP160
2033,FILIP1
2034,IRS4
2035,PHEX
2036,COPS6
2037,TFAP2B
2038,KIFC3
2039,TLX2
2040,SLC46A1
2041,PYHIN1
2042,CYP2U1
2043,INPP5F
2044,SLC25A47
2045,ZFP36
2046,UTP14C
2047,ENPEP
2048,NLRP3
2049,RYBP
2050,APMAP
2051,HOOK1
2052,TBRG4
2053,MRPL37
2054,NSMAF
2055,PITPNB
2056,PAPOLA
2057,NUBP1
2058,FBXL3
2059,GRB7
2060,KNTC1
2061,PDK4
2062,RAD51C
2063,CCDC120
2064,ZNF561
2065,RPAIN
2066,TFDP2
2067,TEAD1
2068,CHML
2069,MRPS5
2070,REXO2
2071,MICAL3
2072,MMP16
2073,ZNF777
2074,COX7A2
2075,RAD21
2076,ACACB
2077,TBC1D10B
2078,SNRPA
2079,DDX19B
2080,ZC3H12D
2081,TMEM102
2082,ZSCAN16
2083,TSKS
2084,RADIL
2085,VPS72
2086,ZNF706
2087,TRAPPC12
2088,PHF1
2089,AP4S1
2090,INTS12
2091,ATP6V0A4
2092,DNAJC3
2093,RRAS2
2094,BMP2K
2095,EIF2A
2096,TBC1D9
2097,WDR36
2098,AUP1
2099,PDZD8
2100,MEIS1
2101,RUVBL1
2102,MTG2
2103,PKD1L1
2104,RSL24D1
2105,NAGK
2106,BDKRB1
2107,ZNF146
2108,CCDC50
2109,SSBP2
2110,UBA3
2111,NOVA2
2112,PDCD11
2113,ZNF416
2114,PSMA2
2115,TAS1R1
2116,ZNF697
2117,SRSF5
2118,WDR26
2119,ARHGAP9
2120,P4HA1
2121,NUP54
2122,NGRN
2123,SMO
2124,SH3D19
2125,DDX56
2126,ID2
2127,CYB5R3
2128,TAF1L
2129,CD40LG
2130,SMARCAL1
2131,FPR2
2132,FRMD3
2133,NUAK2
2134,ALOX5
2135,IFT46
2136,LZTS2
2137,PCDHB10
2138,THAP7
2139,GFPT2
2140,BTNL8
2141,ZSCAN32
2142,ZNF34
2143,ARID5B
2144,NUDT1
2145,ZNF23
2146,NLN
2147,THAP2
2148,WNK3
2149,AKT2
2150,CRB1
2151,PPP4R2
2152,DPM1
2153,EMC1
2154,ASNS
2155,DMRT3
2156,BTG3
2157,RPL37
2158,TBX20
2159,IRAK1
2160,AREL1
2161,PTGS2
2162,CCR10
2163,IL6R
2164,TRPC6
2165,CLMP
2166,UCK2
2167,FLG2
2168,ATP6AP2
2169,PAX9
2170,CLCN5
2171,OSBPL1A
2172,DIDO1
2173,RASA3
2174,RNFT1
2175,CA11
2176,PSKH1
2177,KLF7
2178,EBNA1BP2
2179,RPL32
2180,TMEM9B
2181,LATS1
2182,MYOC
2183,RBM47
2184,RAB40B
2185,SLC25A10
2186,KLHL20
2187,CTSF
2188,PTGER2
2189,PPP2R5E
2190,GCLM
2191,GALNT18
2192,RANBP10
2193,HOXC11
2194,SRPK1
2195,IGFN1
2196,FAM50A
2197,RANBP3
2198,CEP57L1
2199,DEDD
2200,ZNF117
2201,CEMIP
2202,LIMS2
2203,IRF8
2204,ZBTB40
2205,MYT1
2206,VWA3B
2207,TRIP6
2208,MICA
2209,MYO1F
2210,SLIRP
2211,SH2B3
2212,RBFA
2213,CENPM
2214,HSPA13
2215,NME4
2216,ZNF26
2217,TOMM40
2218,ATP2C2
2219,ESRRA
2220,BMPR1B
2221,ZNF501
2222,HDAC1
2223,FANCC
2224,GOLGA6A
2225,SPRR1B
2226,VPS37D
2227,JUNB
2228,MARK4
2229,ANGPT1
2230,HNRNPH1
2231,CAPN11
2232,PLEKHH1
2233,SLC13A2
2234,E2F2
2235,TNFAIP8
2236,NUFIP2
2237,HAS3
2238,ARHGAP4
2239,ZNF669
2240,SP140L
2241,SMARCC1
2242,GALT
2243,GMCL1
2244,S100A8
2245,HRNR
2246,FANCE
2247,GSTM1
2248,MAPKAPK5
2249,ANKS1A
2250,XDH
2251,HLX
2252,TBC1D14
2253,DIAPH1
2254,FFAR2
2255,UQCR10
2256,SPRY1
2257,DNAJC28
2258,TWISTNB
2259,PRLR
2260,ARHGAP18
2261,ZNF320
2262,PRMT2
2263,YEATS2
2264,REM1
2265,FOS
2266,KBTBD8
2267,XPOT
2268,HSD3B2
2269,MLXIPL
2270,CYP4F2
2271,USP10
2272,MFSD10
2273,LYPLA1
2274,BZW2
2275,EIF4ENIF1
2276,PHF12
2277,SEC14L1
2278,CEP41
2279,GPATCH1
2280,CTU1
2281,BRMS1L
2282,DNASE1L3
2283,PTF1A
2284,WRAP53
2285,HYAL4
2286,P4HA2
2287,TRAM2
2288,STK35
2289,RFWD3
2290,TAP2
2291,TMEM50A
2292,TUBG1
2293,ERCC2
2294,FBXO33
2295,DERL1
2296,CABLES1
2297,CPD
2298,DDX46
2299,HKDC1
2300,NAALAD2
2301,PKP1
2302,BRWD1
2303,CSF2RB
2304,LSS
2305,SMYD1
2306,SUSD3
2307,DDX60
2308,FGFBP1
2309,STK10
2310,TP53BP2
2311,IRF6
2312,MPI
2313,CYP51A1
2314,DSG4
2315,IL1B
2316,SBK1
2317,RAB40A
2318,AQP2
2319,GART
2320,GDAP2
2321,YPEL5
2322,SMAD3
2323,TCHP
2324,SWAP70
2325,CYP27C1
2326,HEPH
2327,PKNOX1
2328,GAS2L3
2329,PCNP
2330,DGCR8
2331,CUL1
2332,STAG3
2333,MMGT1
2334,HHIP
2335,KRT85
2336,SOBP
2337,ZADH2
2338,SP1
2339,RASGEF1B
2340,PPIP5K1
2341,TFIP11
2342,SHC3
2343,LIME1
2344,ZNF829
2345,ELF1
2346,TPP2
2347,PKN3
2348,PROP1
2349,SIK2
2350,ASB18
2351,ZNF768
2352,LEP
2353,HSPG2
2354,PSMD8
2355,GPN1
2356,GLIS2
2357,HLA-DOA
2358,BFSP1
2359,ZNF30
2360,HMGN3
2361,FRMD8
2362,PHF13
2363,FGFR3
2364,ZBTB21
2365,ZNF425
2366,SHOX2
2367,DIXDC1
2368,CD8A
2369,PI3
2370,CCDC78
2371,ZNF789
2372,HOXC9
2373,ULBP2
2374,PMPCA
2375,IDO1
2376,TAS2R41
2377,ZNF587B
2378,MAP7D2
2379,AAGAB
2380,ARHGEF10L
2381,ZNF569
2382,CDK7
2383,EIF3F
2384,CTCFL
2385,PIH1D1
2386,HOXD13
2387,TIGD6
2388,FOXL2
2389,STAG1
2390,ZNF322
2391,TGIF1
2392,TAF1A
2393,CHKA
2394,GMIP
2395,DENND2A
2396,SHPRH
2397,STX18
2398,PCMTD1
2399,SDF2L1
2400,DDX25
2401,CDC42EP5
2402,RHEBL1
2403,LAT
2404,LDB1
2405,PHOX2B
2406,EPO
2407,ISCA1
2408,GLCCI1
2409,ATXN1
2410,TICAM2
2411,MCM3AP
2412,ZNF267
2413,RAD50
2414,GNS
2415,SEMA6C
2416,CHST10
2417,TUB
2418,SLC35B1
2419,MIEF2
2420,DNLZ
2421,ACRBP
2422,ADAMTS9
2423,UTY
2424,ELAC2
2425,PCGF3
2426,PSMC3IP
2427,SMPD4
2428,ZCCHC9
2429,OTULIN
2430,AAR2
2431,PTGIR
2432,GBE1
2433,PYGO2
2434,CGA
2435,FBXL4
2436,TCF7
2437,VASN
2438,DYNC2LI1
2439,JPH4
2440,SHISA3
2441,ANO2
2442,NFIC
2443,C6
2444,PLA2G3
2445,PRKCH
2446,FBXO5
2447,ZDHHC3
2448,PPP1R14B
2449,PPP4R1
2450,COL11A2
2451,MYCN
2452,SNX33
2453,PSTPIP1
2454,AKR1B10
2455,PCDHGB1
2456,MFSD2A
2457,CENPK
2458,PKN1
2459,NT5C3B
2460,CCZ1B
2461,CENPH
2462,BMS1
2463,AK6
2464,SRF
2465,KCNQ5
2466,AK8
2467,EIF3J
2468,MTFP1
2469,SREK1
2470,DHX8
2471,YIPF6
2472,TARDBP
2473,HSCB
2474,ALDOB
2475,TIPRL
2476,ARHGAP11A
2477,DNALI1
2478,ZNF614
2479,PROX1
2480,AKAP1
2481,CASP5
2482,AMPD3
2483,GATAD2A
2484,EXT1
2485,PARP10
2486,TMTC4
2487,MAGEA1
2488,SLC12A4
2489,CDK11B
2490,SNX12
2491,RPS6KA5
2492,CFLAR
2493,MIER1
2494,MTX3
2495,GNL3
2496,SNUPN
2497,ZNF329
2498,YIF1A
2499,EIF5AL1
2500,SLC5A6
2501,SNX11
2502,RBBP7
2503,PABPC3
2504,CTSA
2505,CCRL2
2506,URB1
2507,SON
2508,PITPNM3
2509,TBC1D12
2510,AFAP1L1
2511,FCRL1
2512,CD83
2513,WDR12
2514,TNKS1BP1
2515,VPS54
2516,HSH2D
2517,SGSM1
2518,SPRR2D
2519,ZNF76
2520,PRDM1
2521,EID3
2522,KCNK12
2523,MGAT4A
2524,PAK4
2525,PNPLA1
2526,TXNDC9
2527,AGMAT
2528,FAM98B
2529,PPHLN1
2530,B4GALNT4
2531,TGIF2LY
2532,MIDN
2533,LRCH4
2534,CRISP3
2535,NAA10
2536,CERS2
2537,AMIGO1
2538,APTX
2539,ECHDC2
2540,KIF7
2541,HSD17B11
2542,LIN54
2543,OSBPL2
2544,ZBTB18
2545,LIPH
2546,P4HA3
2547,COPS2
2548,ILKAP
2549,FGD1
2550,SLC35A5
2551,TERF1
2552,PREX2
2553,GATA2
2554,N4BP2
2555,DRG2
2556,PWWP2B
2557,DDX23
2558,RHPN2
2559,FTSJ3
2560,BAZ2B
2561,RCC2
2562,FCRL4
2563,ATAD2
2564,ME1
2565,PKP3
2566,CD300E
2567,PDCD1
2568,KIF3C
2569,CALCRL
2570,MED16
2571,EDA
2572,ZNF28
2573,SNX17
2574,GH2
2575,PCDHA3
2576,PDZD2
2577,ZNF213
2578,ZW10
2579,TRPV3
2580,TWIST1
2581,CSF1R
2582,TRIM35
2583,CREB3L3
2584,POLR1E
2585,ACTR10
2586,SPATS2
2587,S100G
2588,DNAJC10
2589,HELLS
2590,EMCN
2591,DNAL1
2592,STAT4
2593,APBB1IP
2594,ZNF521
2595,IL3RA
2596,RBMY1A1
2597,ZNF419
2598,NUP205
2599,PTDSS2
2600,HOXC8
2601,DUSP26
2602,SFRP4
2603,KIF11
2604,COQ9
2605,MED4
2606,ECHS1
2607,HIF1A
2608,ZMIZ2
2609,CARM1
2610,SLC24A2
2611,CDS2
2612,OTUD3
2613,TRIM41
2614,TAS2R10
2615,GATA1
2616,CBX1
2617,TIMM44
2618,TTC5
2619,KIAA0586
2620,FCGR1A
2621,UCHL3
2622,SLC2A9
2623,SUCLG2
2624,SRP72
2625,PM20D2
2626,DNMT3B
2627,ARHGEF17
2628,BIRC5
2629,SMYD2
2630,MINPP1
2631,DDX11
2632,MASP1
2633,ZNF91
2634,MUS81
2635,CAMTA1
2636,NGFR
2637,CC2D1A
2638,HPGD
2639,F8
2640,PTPN7
2641,GUCY2C
2642,UGT2A3
2643,PANK3
2644,ARHGEF28
2645,STON1
2646,OSGEP
2647,SUGCT
2648,KRT6B
2649,PTPN18
2650,KIF24
2651,DLX6
2652,NRBP1
2653,BRD9
2654,IL22RA1
2655,GTF2H2
2656,TPRKB
2657,EDEM3
2658,CACNA1H
2659,ATAD3B
2660,FRAT1
2661,LPIN3
2662,CDC27
2663,LYPLA2
2664,RNPS1
2665,RXFP1
2666,DMRTB1
2667,FAM131B
2668,GDF9
2669,GALK2
2670,KCNH7
2671,RPS4X
2672,ZNF221
2673,NONO
2674,BHLHE41
2675,MAP4K3
2676,ZC3H11A
2677,TMEM176B
2678,LRP12
2679,RUFY2
2680,ZNF174
2681,JUN
2682,HYLS1
2683,LY6G6F
2684,XIRP2
2685,MT1G
2686,PLEKHG6
2687,TOX3
2688,TPRN
2689,PEPD
2690,PRPF4
2691,MED31
2692,NUPR1
2693,PDCD4
2694,PTPRC
2695,ZNF703
2696,KCNJ11
2697,TRMT5
2698,JSRP1
2699,PSPC1
2700,ZBTB16
2701,MFAP3
2702,GRK6
2703,SLCO4C1
2704,CDC16
2705,CHP1
2706,PECR
2707,MSH6
2708,AURKB
2709,UGGT2
2710,SERPINB1
2711,CHST6
2712,IFI16
2713,TBC1D2
2714,CASP2
2715,VAX1
2716,NPPB
2717,USP3
2718,APOBEC2
2719,RASL11A
2720,PCGF1
2721,ATP7B
2722,SCIMP
2723,PIN4
2724,FCRL2
2725,CDK19
2726,MEFV
2727,PDIA4
2728,SLC16A10
2729,RBM22
2730,DNHD1
2731,RBM6
2732,TDRD7
2733,STRA6
2734,NPAS2
2735,ZNF197
2736,LY75
2737,COL12A1
2738,ALDH1A2
2739,HCFC2
2740,DHDDS
2741,EAF2
2742,FOXJ3
2743,DCAF11
2744,ZFAND6
2745,CREBBP
2746,RPRD1A
2747,SHMT1
2748,ZMIZ1
2749,RPUSD3
2750,LMF2
2751,POU3F2
2752,FEM1C
2753,SUGP2
2754,CDKN2AIP
2755,PCDHB15
2756,TCF3
2757,IPPK
2758,MSX1
2759,PSMB7
2760,SPRN
2761,RNF146
2762,SMC2
2763,TNNI2
2764,KRTAP19-3
2765,FDFT1
2766,ALDH3A1
2767,PCGF6
2768,FPR1
2769,CD79A
2770,UGT2B15
2771,WBP4
2772,AEBP1
2773,STMN2
2774,OPTN
2775,MAP3K11
2776,ABCC3
2777,CKS1B
2778,ITK
2779,ICAM3
2780,IQGAP2
2781,PSMB1
2782,CD86
2783,SP5
2784,UBR1
2785,SLC3A1
2786,ZNF461
2787,KLHL11
2788,ISG15
2789,NEDD4L
2790,AIMP1
2791,NEU3
2792,ZNF763
2793,SEC23IP
2794,ALYREF
2795,TCEANC2
2796,SLC38A2
2797,TLR4
2798,PCM1
2799,BVES
2800,NAT10
2801,MAP4K1
2802,IMPDH2
2803,ZNF10
2804,ACTR8
2805,PLA2G7
2806,PHLDA3
2807,BRD2
2808,HJURP
2809,ERMAP
2810,UBXN7
2811,MCM8
2812,ZNF398
2813,DHX36
2814,PARP2
2815,NEDD1
2816,PRPF8
2817,HLA-DQB1
2818,GIGYF2
2819,SPATA18
2820,SNX14
2821,DMWD
2822,BANP
2823,ENG
2824,TXNRD2
2825,ELOVL5
2826,FLRT1
2827,HTATSF1
2828,PIEZO1
2829,POLR1B
2830,RAD23B
2831,EMILIN1
2832,USP31
2833,PAX7
2834,RPL15
2835,ORC4
2836,BBS4
2837,IST1
2838,UBE2Q2
2839,ATG5
2840,MTFR2
2841,ZNF85
2842,KRT14
2843,FILIP1L
2844,BRF1
2845,MYH4
2846,USP6
2847,SLC25A32
2848,SFMBT2
2849,TMA16
2850,POLK
2851,CDCA7L
2852,FAM220A
2853,P2RY12
2854,ZNF496
2855,NAE1
2856,ALOX15B
2857,ICA1L
2858,ZNF81
2859,GCDH
2860,GPR61
2861,PMP2
2862,RIC8B
2863,KIF25
2864,KLF12
2865,FTO
2866,PPIAL4G
2867,CNPY2
2868,GAPDHS
2869,TRAF7
2870,RAD1
2871,FRS2
2872,RHBDD1
2873,KANK4
2874,ZSCAN10
2875,NDUFB11
2876,GPR52
2877,SLC13A5
2878,OAZ1
2879,CD72
2880,PPAT
2881,HSD17B10
2882,KCTD5
2883,KRT79
2884,ZNF710
2885,TSPYL6
2886,TEKT5
2887,ISYNA1
2888,ZNF559
2889,R3HDM2
2890,DSG3
2891,SGK2
2892,B9D1
2893,GALNT2
2894,SALL1
2895,LEMD3
2896,SDHA
2897,KCTD13
2898,SERPINE1
2899,ZNF552
2900,BTN1A1
2901,HERC3
2902,REC8
2903,ZNF430
2904,RPL28
2905,NEUROG3
2906,PPP1R3E
2907,FADS2
2908,GAS2L1
2909,ZNF580
2910,BIRC3
2911,SPC24
2912,TAX1BP1
2913,FAM32A
2914,HCK
2915,KIF12
2916,UBR2
2917,NIM1K
2918,FCHO1
2919,VAV3
2920,PTGS1
2921,SH3BP5
2922,GPR173
2923,RHBDD2
2924,IFFO2
2925,PTPN12
2926,PKD1
2927,FYCO1
2928,MORC1
2929,GOLGA4
2930,QPCT
2931,BTBD7
2932,CDC14B
2933,FAS
2934,CBX2
2935,IRF2
2936,E4F1
2937,MED26
2938,INPP5A
2939,TMCC1
2940,ASB14
2941,POLR3G
2942,PACSIN3
2943,ARHGAP10
2944,GAS6
2945,PARD6B
2946,CSNK1A1
2947,MSLN
2948,EHMT1
2949,KLB
2950,GFPT1
2951,NUDT21
2952,THEMIS
2953,UPF1
2954,FRZB
2955,HOXB8
2956,DNAJC9
2957,SASS6
2958,SLC25A6
2959,CTAG2
2960,CENPT
2961,PID1
2962,DNAH7
2963,MOB1A
2964,CC2D2A
2965,POT1
2966,UBAP2L
2967,NIP7
2968,OTOP3
2969,PDCL
2970,PSMB9
2971,RTKN2
2972,CEP290
2973,CYP19A1
2974,SLC25A20
2975,HK2
2976,CHD2
2977,NWD1
2978,ZP2
2979,GIPC2
2980,ZBTB8A
2981,POFUT2
2982,NUDT4
2983,CYP2A13
2984,DCAF13
2985,RAPGEF3
2986,ZNF175
2987,ARHGEF38
2988,ZNRF3
2989,DDX55
2990,NCOA3
2991,AMDHD1
2992,NUP188
2993,SCG3
2994,MED6
2995,ZNF506
2996,SKA2
2997,RNF38
2998,ZNF503
2999,TAL1
3000,ZNF219
3001,ACOT2
3002,LPL
3003,ZNF41
3004,PBX2
3005,ZNF131
3006,GJB4
3007,PPP5C
3008,COL16A1
3009,CARS2
3010,MAN2A2
3011,LAMTOR5
3012,TSPAN33
3013,ZNF253
3014,SPI1
3015,ANAPC2
3016,UBE2T
3017,FHIT
3018,SORL1
3019,MYO3B
3020,IGSF6
3021,SUPT5H
3022,ZNF544
3023,SYDE1
3024,SIGLEC7
3025,SMAD6
3026,KIN
3027,EME1
3028,ZNF536
3029,SMC1B
3030,ITGA10
3031,POLG2
3032,FLYWCH1
3033,CCDC154
3034,LHX3
3035,TSPYL1
3036,FLVCR1
3037,SPRED2
3038,STARD4
3039,PRPF40A
3040,FAT1
3041,XRN2
3042,RAC3
3043,TRAPPC3L
3044,HACE1
3045,BTD
3046,MS4A3
3047,TENM4
3048,MRPL53
3049,GTF2F1
3050,POP5
3051,KCNQ1
3052,FBXO39
3053,KLHL2
3054,MYO7B
3055,STOX1
3056,TMEFF1
3057,DPH1
3058,RPS6KC1
3059,RIN3
3060,GABPA
3061,CLDN6
3062,MERTK
3063,KIR2DL3
3064,MT1X
3065,BOD1L1
3066,PDLIM2
3067,LRIT1
3068,RFTN2
3069,MRPL34
3070,PDK2
3071,PANK1
3072,IL13RA1
3073,TXNDC17
3074,ELP4
3075,INTS3
3076,GUCY2F
3077,POGK
3078,AGO2
3079,IRF2BP1
3080,RIMKLA
3081,NEU4
3082,UXS1
3083,NPC1
3084,EFS
3085,IFT57
3086,ZNF585B
3087,RBM10
3088,ZNF280D
3089,ZFP28
3090,MGAT5
3091,ZBTB48
3092,MAF
3093,DOCK8
3094,NR2F1
3095,CRISPLD2
3096,EPHX1
3097,TOP3B
3098,FCGRT
3099,EXD2
3100,ESD
3101,TNS3
3102,LIMD1
3103,RAB32
3104,TRIP10
3105,MLKL
3106,GPNMB
3107,VTN
3108,THSD7B
3109,COL5A1
3110,TRPS1
3111,NCOA6
3112,POLE
3113,SYCP2
3114,FURIN
3115,APOBEC3G
3116,LIN52
3117,ZNF510
3118,NUSAP1
3119,OXCT2
3120,MGAT3
3121,PIDD1
3122,RMND5B
3123,KDM1A
3124,SERPINB4
3125,ALDH3B1
3126,PELI1
3127,MLX
3128,CD22
3129,ZFYVE27
3130,LGMN
3131,ZFP64
3132,ALKBH8
3133,DAZ2
3134,ADAM30
3135,PRDM7
3136,CALD1
3137,MAP3K7
3138,NEK9
3139,INSR
3140,NSUN5
3141,SLC2A13
3142,ZNF326
3143,CLK4
3144,SGMS2
3145,CEP250
3146,HOXD1
3147,GPR22
3148,SLC25A36
3149,TMC6
3150,MMP15
3151,ATF7IP2
3152,TLR8
3153,NPAS3
3154,TNRC18
3155,ANO5
3156,SULT1A1
3157,RNF130
3158,GAA
3159,RAET1L
3160,GUCY2D
3161,TMX3
3162,PHACTR3
3163,KDM2B
3164,DPH2
3165,ACOT12
3166,UGDH
3167,UNC50
3168,HBZ
3169,DCBLD2
3170,ZNF555
3171,SLC35C2
3172,KATNAL1
3173,PSMB5
3174,FOXE1
3175,NUP62
3176,HES4
3177,ALG9
3178,NR4A3
3179,SULT1A3
3180,BTN2A2
3181,CHFR
3182,ARID3A
3183,ZSCAN22
3184,ZNF662
3185,HILPDA
3186,MED30
3187,DSC2
3188,TXNL4B
3189,CHUK
3190,WDR66
3191,F13A1
3192,FOXN3
3193,TAF5L
3194,SGSH
3195,RAB28
3196,PRMT8
3197,RUVBL2
3198,ZNF865
3199,SLC38A1
3200,CLK3
3201,ITGA7
3202,STARD9
3203,CEP44
3204,EIF4EBP3
3205,INPP5B
3206,PSAT1
3207,ESYT1
3208,ZNF605
3209,ETV6
3210,KRTAP13-3
3211,ACSS1
3212,EIF3H
3213,EPS8L2
3214,NOSTRIN
3215,POLR2H
3216,TIAM2
3217,MBD2
3218,KRT71
3219,USP33
3220,LRIG1
3221,ZNF627
3222,ZNF239
3223,SLC2A12
3224,ARHGEF1
3225,EPHB6
3226,CASP4
3227,CENPB
3228,NLK
3229,CDHR1
3230,SPATA19
3231,SDC4
3232,PXDN
3233,THEM5
3234,MCM6
3235,ENKD1
3236,WT1
3237,ARHGEF11
3238,DCTN6
3239,PYROXD1
3240,ZBTB34
3241,LARS2
3242,SUGT1
3243,POLD2
3244,ANO3
3245,KIFC2
3246,GIMAP6
3247,ACO1
3248,SAMSN1
3249,SLC20A2
3250,APOL3
3251,IFNAR1
3252,ANXA4
3253,EHD2
3254,KDELR3
3255,MCMBP
3256,TRPM6
3257,GAS8
3258,SLC25A43
3259,PDCD10
3260,FANCM
3261,CASQ2
3262,ABCC5
3263,KLHL22
3264,ZFHX4
3265,ZNF394
3266,PBX1
3267,ISL2
3268,TPSG1
3269,TNNT1
3270,UNC119
3271,CD244
3272,ENC1
